Blender 4.2.16 LTS (hash 39502cae951c built 2025-11-18 01:34:37)
Read blend: "D:\workspace\python-workspace\Tower\main.blend"
Warning: File written by newer Blender binary (405.91), expect loss of data!
Fra:1 Mem:11.00M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.00M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:11.00M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:11.00M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.08M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.06 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.09M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.07 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.10M (Peak 39.38M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.11M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.11 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.12M (Peak 39.38M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.12M (Peak 39.38M) | Time:00:00.12 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.87M (Peak 39.38M) | Time:00:00.12 | Remaining:00:00.12 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.88M (Peak 39.38M) | Time:00:00.42 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.88M (Peak 39.38M) | Time:00:00.42 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmp52tbj3sd.png'
Time: 00:00.44 (Saving: 00:00.00)

Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_6
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:11.00M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.00M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:11.00M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:11.00M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.05 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.05 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.08 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.12M (Peak 39.39M) | Time:00:00.12 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.88M (Peak 39.39M) | Time:00:00.12 | Remaining:00:00.15 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.88M (Peak 39.39M) | Time:00:00.39 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.88M (Peak 39.39M) | Time:00:00.39 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmplbktae9a.png'
Time: 00:00.43 (Saving: 00:00.01)

Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_0
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
Fra:1 Mem:11.54M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:11.00M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.01M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:11.01M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:11.01M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.13M (Peak 39.39M) | Time:00:00.13 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.88M (Peak 39.39M) | Time:00:00.13 | Remaining:00:00.12 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.89M (Peak 39.39M) | Time:00:01.50 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.89M (Peak 39.39M) | Time:00:01.50 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmpbvdn7gkk.png'
Time: 00:01.67 (Saving: 00:00.01)

Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_4
Fra:1 Mem:11.52M (Peak 11.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_0
Fra:1 Mem:11.54M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:11.01M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.01M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:11.01M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:11.01M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:11.09M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:11.10M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images
Fra:1 Mem:11.11M (Peak 39.39M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Images | Loading wood.png
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.02M, Peak:6.02M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.11 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:17.12M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Film
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.02M, Peak:6.10M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:17.13M (Peak 39.39M) | Time:00:00.12 | Mem:6.10M, Peak:6.10M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:21.13M (Peak 39.39M) | Time:00:00.14 | Mem:350.10M, Peak:350.10M | Scene, ViewLayer | Sample 0/32
Fra:1 Mem:25.88M (Peak 39.39M) | Time:00:00.15 | Remaining:00:00.13 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 1/32
Fra:1 Mem:27.89M (Peak 39.39M) | Time:00:01.25 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Sample 32/32
Fra:1 Mem:27.89M (Peak 39.39M) | Time:00:01.25 | Mem:354.87M, Peak:354.87M | Scene, ViewLayer | Finished
Saved: 'C:\Users\admin\AppData\Local\Temp\tmptpkl2l9w.png'
Time: 00:01.66 (Saving: 00:00.04)

Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_7
Fra:1 Mem:11.53M (Peak 11.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WoodGround
Fra:1 Mem:11.54M (Peak 11.54M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | block_1
